time,level,year,sin_month,cos_month,sin_dayofyear,cos_dayofyear
2017-06-19,11.561124999999999,2017,1.2246467991473532e-16,-1.0,0.21547731504673012,-0.976508846196619
2017-06-20,11.546864583333333,2017,1.2246467991473532e-16,-1.0,0.19864794288017112,-0.9800709131432666
2017-06-21,11.534666666666666,2017,1.2246467991473532e-16,-1.0,0.18175978759137534,-0.9833429613388902
2017-06-22,11.527583333333332,2017,1.2246467991473532e-16,-1.0,0.16481784665719793,-0.9863240225317866
2017-06-23,11.537864583333333,2017,1.2246467991473532e-16,-1.0,0.14782713347053048,-0.9890132145779883
2017-06-24,11.552114583333333,2017,1.2246467991473532e-16,-1.0,0.13079267585675922,-0.9914097417023038
2017-06-25,11.566169230769232,2017,1.2246467991473532e-16,-1.0,0.11371951458594969,-0.9935128947338007
2017-06-26,11.558147368421052,2017,1.2246467991473532e-16,-1.0,0.0966127018812031,-0.9953220513156602
2017-06-27,11.53365625,2017,1.2246467991473532e-16,-1.0,0.07947729992362097,-0.9968366760893436
2017-06-28,11.492833333333332,2017,1.2246467991473532e-16,-1.0,0.062318379354325076,-0.998056320853012
2017-06-29,11.4895,2017,1.2246467991473532e-16,-1.0,0.04514101777397193,-0.9989806246941579
2017-06-30,11.5476875,2017,1.2246467991473532e-16,-1.0,0.02795029824021032,-0.999609314096404
2017-07-01,11.595166666666666,2017,-0.4999999999999997,-0.8660254037844388,0.01075130776352193,-0.9999422030204416
2017-07-02,11.588375,2017,-0.4999999999999997,-0.8660254037844388,-0.00645086419810515,-0.9999791929590823
2017-07-03,11.57925,2017,-0.4999999999999997,-0.8660254037844388,-0.023651127245231586,-0.9997202729664083
2017-07-04,11.55259375,2017,-0.4999999999999997,-0.8660254037844388,-0.04084439154329611,-0.9991655196610109
2017-07-05,11.47815625,2017,-0.4999999999999997,-0.8660254037844388,-0.05802556932878035,-0.9983150972033183
2017-07-06,11.4471875,2017,-0.4999999999999997,-0.8660254037844388,-0.07518957641475855,-0.9971692572470178
2017-07-07,11.4360625,2017,-0.4999999999999997,-0.8660254037844388,-0.09233133369539122,-0.9957283388645872
2017-07-08,11.438239583333333,2017,-0.4999999999999997,-0.8660254037844388,-0.10944576864891556,-0.993992768446958
2017-07-09,11.441635416666665,2017,-0.4999999999999997,-0.8660254037844388,-0.12652781683868314,-0.9919630595773397
2017-07-10,11.433375,2017,-0.4999999999999997,-0.8660254037844388,-0.1435724234118113,-0.9896398128792412
2017-07-11,11.435479166666667,2017,-0.4999999999999997,-0.8660254037844388,-0.16057454459499376,-0.9870237158387383
2017-07-12,11.434937499999998,2017,-0.4999999999999997,-0.8660254037844388,-0.17752914918703497,-0.984115542601034
2017-07-13,11.434229166666666,2017,-0.4999999999999997,-0.8660254037844388,-0.19443122004766195,-0.9809161537413774
2017-07-14,11.428708333333333,2017,-0.4999999999999997,-0.8660254037844388,-0.2112757555821793,-0.9774264960104055
2017-07-15,11.426260416666667,2017,-0.4999999999999997,-0.8660254037844388,-0.2280577712215198,-0.9736476020539838
2017-07-16,11.4281875,2017,-0.4999999999999997,-0.8660254037844388,-0.24477230089725957,-0.9695805901076308
2017-07-17,11.438281250000001,2017,-0.4999999999999997,-0.8660254037844388,-0.2614143985111562,-0.965226663665613
2017-07-18,11.432604166666666,2017,-0.4999999999999997,-0.8660254037844388,-0.2779791393987801,-0.9605871111248129
2017-07-19,11.43209375,2017,-0.4999999999999997,-0.8660254037844388,-0.2944616217868012,-0.9556633054034704
2017-07-20,11.430107692307692,2017,-0.4999999999999997,-0.8660254037844388,-0.3108569682435036,-0.9504567035349151
2017-07-21,11.461357894736842,2017,-0.4999999999999997,-0.8660254037844388,-0.3271603271220951,-0.9449688462364056
2017-07-22,11.475895833333333,2017,-0.4999999999999997,-0.8660254037844388,-0.34336687399638804,-0.939201357453208
2017-07-23,11.485109375,2017,-0.4999999999999997,-0.8660254037844388,-0.3594718130884232,-0.9331559438780432
2017-07-24,11.534552083333333,2017,-0.4999999999999997,-0.8660254037844388,-0.3754703786876202,-0.9268343944460494
2017-07-25,11.51540625,2017,-0.4999999999999997,-0.8660254037844388,-0.3913578365610259,-0.9202385798054075
